rail,rail_work_order,localisation,mvt,designation,reference,id,work_order,point,path,position_type,speed,cnt,x_j1,y_j2,z_j3,w_j4,p_j5,r_j6,e1,wrist,forearm,arm,conf_j1,conf_j4,conf_j6,UF,UT
4,3,,work,fastener,EN6115V3-4,253,9,18,LINEAR,CRT,100,0,86.70,1059.246,6.80,90.00,-87.74,0.00,1757.440,F,U,T,0,0,0,3,2
4,3,,work,fastener,EN6115V3-4,254,10,19,LINEAR,CRT,100,0,57.90,1059.246,6.80,90.00,-81.18,0.00,1757.440,F,U,T,0,0,0,3,2
4,3,,work,fastener,ASNA2392-3-04,142,11,20,LINEAR,CRT,100,0,48.20,1059.246,27.30,90.00,-74.81,0.00,1757.440,F,U,T,0,0,0,3,2
4,3,,work,fastener,ASNA2392-3-04,138,12,21,LINEAR,CRT,100,0,31.90,1058.900,6.80,90.00,-70.97,0.00,1757.440,F,U,T,0,0,0,3,2
4,3,,work,fastener,ASNA2392-3-04,137,13,22,LINEAR,CRT,100,0,22.20,1058.900,27.30,90.00,-70.97,0.00,1757.440,F,U,T,0,0,0,3,2
4,3,,work,fastener,ASNA2392-3-04,139,14,23,LINEAR,CRT,100,0,9.90,1058.900,6.80,90.00,-70.97,0.00,1757.440,F,U,T,0,0,0,3,2
4,3,,work,fastener,ASNA2392-3-04,136,15,24,LINEAR,CRT,100,0,0.20,1058.900,27.30,90.00,-70.97,0.00,1757.440,F,U,T,0,0,0,3,2
4,3,,work,fastener,ASNA2392-3-04,140,16,25,LINEAR,CRT,100,0,-12.10,1058.900,6.80,90.00,-70.97,0.00,1757.440,F,U,T,0,0,0,3,2
4,3,,work,fastener,ASNA2392-3-04,135,17,26,LINEAR,CRT,100,0,-21.80,1058.900,27.30,90.00,-64.75,0.00,1757.440,F,U,T,0,0,0,3,2
4,3,,work,fastener,ASNA2392-3-04,141,18,27,LINEAR,CRT,100,0,-34.10,1058.900,6.80,90.00,-68.69,0.00,1757.440,F,U,T,0,0,0,3,2
